"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"997"	10.7801	0	0	0	0	0	1	0	0	0.793869643	0.008724871	1.089029851	-0.100257103	0.187562402	0.056311832	0.811642572	0.255397993	0.318911625	-0.37098401	-0.888316727	0.841591173	0.237578805
"998"	10.9572	0	0	0	0	0	1	0	0	0.841452664	0.239155346	0.918673482	-0.09565731	1.68955238	0.086491952	0.810268099	0.255397993	0.331795827	-0.375255191	-0.356997279	0.902406846	0.238085122
"1003"	10.1815	0	0	0	0	0	1	0	0	0.634126643	-0.411300299	1.096866985	-0.153322529	0.402131234	0.148012967	0.813017044	0.257363261	0.254536964	-0.389937373	-0.003848017	0.771001554	0.237680068
"1013"	10.8755	0	0	0	0	0	1	0	0	0.821059941	1.446727709	0.994711837	-0.139141478	0.616702105	-0.140439337	0.124406325	0.250484824	0.341760227	-0.345890826	-0.212333726	0.840867177	0.237578805
"1048"	9.0839	0	0	0	0	0	1	0	0	0.338432154	0.472502663	1.143561491	-0.174070953	0.187562402	0.29485086	0.124406325	0.256380627	0.186361928	-0.432649176	0.757763043	0.512896945	0.23742691
"1050"	9.6099	0	0	0	0	0	1	0	0	0.47778243	0.685432089	0.583220424	-0.216548299	0.402131234	0.214177077	0.124406325	0.256380627	0.24614833	-0.421704277	1.597024393	0.635614284	0.23742691
"1057"	10.1782	0	0	0	0	0	1	0	0	0.634126643	-0.539641323	0.951216445	-0.216074501	1.045841807	0.070241118	0.124406325	0.252450092	0.319653162	-0.324534924	1.042835339	1.07218393	0.2377307
"1060"	9.6286	0	0	0	0	0	1	0	0	0.484580005	0.274157444	0.834127437	-0.183000737	1.68955238	0.300074342	0.124406325	0.253432726	0.230437019	-0.360839957	-0.042673162	0.71416786	0.237528173
"1071"	9.8572	0	0	0	0	0	1	0	0	0.545758175	0.732101552	1.019522441	-0.225708403	-0.027008468	0.191541987	0.124406325	0.24950219	0.516067714	-0.325068822	-0.330404714	0.710909878	0.541369222
"1076"	10.8266	0	0	0	0	0	1	0	0	0.807464792	2.563877987	1.096398992	-0.362083388	0.616702105	0.505531315	0.124406325	0.257363261	0.471390124	-0.313323076	1.326312081	0.978788434	0.389727172
"1080"	7.5287	0	0	0	0	0	1	0	0	-0.079618675	1.076288844	0.359023926	-0.547279356	-0.027008468	0.629153731	0.123031853	0.259328529	0.123887455	-0.444394922	0.438652264	0.300042092	0.389170223
"1081"	8.1397	0	0	0	0	0	1	0	0	0.083523112	0.822523638	1.379821028	-0.553721699	-0.45614817	0.548479948	0.124406325	0.260311163	0.200821895	-0.41236107	0.690217928	0.496607033	0.389625909
"1088"	8.1483	0	0	0	0	0	1	0	0	0.086921899	1.297968795	0.944545801	-0.497648969	-0.670719041	0.173549992	0.124406325	0.258345895	0.20615169	-0.426776303	0.029658615	0.339137882	0.389727172
