"obs"	"leverage"	"rstudent"	"color"	"fct_color"	"txt"
"194"	194	0.0170288632589764	-0.174895303128968	"normal"	"normal"	NA
"195"	195	0.0159311926067026	0.0153068370137508	"normal"	"normal"	NA
"196"	196	0.0142947420355217	0.0721128592888702	"normal"	"normal"	NA
"197"	197	0.00760364068523465	0.440324235017861	"normal"	"normal"	NA
"198"	198	0.00768975137904045	0.36508769267057	"normal"	"normal"	NA
"199"	199	0.00935934571857676	0.484175951734411	"normal"	"normal"	NA
"200"	200	0.0100292550084483	0.145431169760898	"normal"	"normal"	NA
"201"	201	0.0106757280688728	0.257922748503033	"normal"	"normal"	NA
"202"	202	0.0153891677661944	-0.212325573406819	"normal"	"normal"	NA
"203"	203	0.0170340341493921	-0.0676245190180538	"normal"	"normal"	NA
"204"	204	0.0193683414199597	0.182555049695177	"normal"	"normal"	NA
"205"	205	0.0138210606344199	0.369837698827775	"normal"	"normal"	NA
"206"	206	0.00947182715799618	0.0881434424751032	"normal"	"normal"	NA
"207"	207	0.0109704413812742	0.680188979878589	"normal"	"normal"	NA
"208"	208	0.00831648468430841	0.511938714840083	"normal"	"normal"	NA
"209"	209	0.0112840196997533	0.651415143866459	"normal"	"normal"	NA
"210"	210	0.00861271983229029	0.507224955359191	"normal"	"normal"	NA
"211"	211	0.0172362111798146	0.888375426732365	"normal"	"normal"	NA
"212"	212	0.0131525524497855	0.67771903120689	"normal"	"normal"	NA
"213"	213	0.0133974808125113	0.655465386172043	"normal"	"normal"	NA
"214"	214	0.00963243222710814	0.453518419203036	"normal"	"normal"	NA
"215"	215	0.0200363835978037	0.813830549450985	"normal"	"normal"	NA
"216"	216	0.00840788363882679	0.31276533351593	"normal"	"normal"	NA
"217"	217	0.0119806980902144	0.53470825355021	"normal"	"normal"	NA
"218"	218	0.0138557280505528	0.263699969509421	"normal"	"normal"	NA
"219"	219	0.0169508754663063	0.501256009928478	"normal"	"normal"	NA
"220"	220	0.0104030778766707	0.0167985087569819	"normal"	"normal"	NA
"221"	221	0.0152021931257483	-0.243082457957079	"normal"	"normal"	NA
"222"	222	0.0124021621917074	0.0221690172550508	"normal"	"normal"	NA
"223"	223	0.0474103605133275	-0.788135288052811	"leverage"	"leverage"	223
"224"	224	0.00917261518523123	0.0582820619553392	"normal"	"normal"	NA
"225"	225	0.040655815067189	0.923698075015606	"leverage"	"leverage"	225
"226"	226	0.0368714857814228	1.03060847146642	"leverage"	"leverage"	226
"227"	227	0.0419147455952209	1.24021073027926	"leverage"	"leverage"	227
"228"	228	0.0154421442226824	0.55868801213327	"normal"	"normal"	NA
"229"	229	0.0141913948483112	-0.116670993877119	"normal"	"normal"	NA
"230"	230	0.0149976362173578	-0.164650907453164	"normal"	"normal"	NA
