DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
13.9319,1,0,0,0,0,0,0,0,9.763,30.3121,12.7769,58.3982,12.30000019,34.94,14,80,780.12,23.81,60.74,61.12,749.96,1.590235652,-1.482464368,-2.586833785,2.203281479,0.880345455,-1.008175782,-2.101191343,0.09281933,0.327278823,0.307746427,0.456864604,0.33970124,1.343575706
13.7932,1,0,0,0,0,0,0,0,9.6658,30.6157,16.51,58.7678,12.30000019,15.19,14,80,780.6,23.05,62.38,62.4,750.03,1.52853953,-1.387229571,-2.270793171,2.247879782,0.880345455,-2.78524213,-2.101191343,0.09281933,0.332987625,0.245369606,0.582166978,0.396120831,1.344709266
13.6176,1,0,0,0,0,0,0,0,9.5427,29.9589,22.3937,58.2178,12.30000019,16.53,14,80,782.25,22.59,64.19,64.47,749.97,1.450403803,-1.593257945,-1.772684853,2.18151326,0.880345455,-2.664671552,-2.101191343,0.09281933,0.352611629,0.207615214,0.720458012,0.487361889,1.343737643
13.3713,1,0,0,0,0,0,0,0,9.3702,30.2904,23.5852,58.4594,12.30000019,15.9,14,80,778.26,21.13,65.17,62.15,749.95,1.340912228,-1.489271334,-1.671813622,2.210666263,0.880345455,-2.721357719,-2.101191343,0.09281933,0.305157218,0.087786058,0.795333821,0.38510138,1.343413769
13.7495,1,0,0,0,0,0,0,0,9.6352,30.5021,23.4437,58.7127,12.30000019,15.68,14,80,780.87,21.22,66,62.97,749.96,1.509116677,-1.422864198,-1.683792875,2.241231063,0.880345455,-2.741152889,-2.101191343,0.09281933,0.336198825,0.095172786,0.858749047,0.42124518,1.343575706
13.7862,1,0,0,0,0,0,0,0,9.6609,30.2929,27.736,58.7447,12.30000019,16.28,15.29,79.99,783.64,21.43,67.14,64.85,749.94,1.525429334,-1.488487122,-1.320410933,2.245092388,0.880345455,-2.687166063,-1.696135488,0.091337978,0.369143366,0.112408487,0.945849478,0.504111455,1.343251832
13.0859,1,0,0,0,0,0,0,0,9.1702,29.4846,22.3928,58.7406,12.30000019,15.63,17,80.02,843.97,88.34,61.71,60.85,746.28,1.213965475,-1.742038789,-1.772761046,2.244597656,0.880345455,-2.745651791,-1.159200982,0.095782034,1.086668328,5.604030993,0.530976374,0.327800233,1.28398283
11.0008,1,0,0,0,0,0,0,0,7.709,30.1526,21.5017,58.4512,12.30000019,15.01,18.28,79.99,794.33,60.06,62.51,50.52,749.46,0.286492495,-1.532497141,-1.848200706,2.209676798,0.880345455,-2.801438178,-0.757285095,0.091337978,0.496283128,3.282956647,0.592099483,-0.127523499,1.335478848
8.3441,1,0,0,0,0,0,0,0,5.8473,30.3463,21.6148,58.8031,12.30000019,14.35,20,80,743.16,26.62,60.89,37.41,750.01,-0.89519136,-1.471736337,-1.83862577,2.252139306,0.880345455,-2.860823686,-0.217210622,0.09281933,-0.112298876,0.538376516,0.468325187,-0.70538353,1.344385392
8.2301,1,0,0,0,0,0,0,0,5.7674,30.4235,27.007,59.9635,11.69999981,14.11,20,80,735.04,19.6,60.69,36.77,750.03,-0.945906588,-1.447519847,-1.382127363,2.392160601,0.028725011,-2.882418416,-0.217210622,0.09281933,-0.208872764,-0.037788332,0.453044409,-0.733593325,1.344709266
8.3091,1,0,0,0,0,0,0,0,5.8227,30.0182,25.3967,57.8647,11.80000019,14.29,20,80,733.06,17.17,60.56,37.3,750.02,-0.91080581,-1.574656419,-1.518453795,2.138905953,0.170662201,-2.866222368,-0.217210622,0.09281933,-0.23242157,-0.237230011,0.443111904,-0.710232088,1.344547329
8.1042,1,0,0,0,0,0,0,0,5.6792,30.4256,26.6295,59.8091,11.30000019,13.99,20,80.01,729.89,15.22,65.23,36.33,750.07,-1.001890106,-1.446861109,-1.414086146,2.373529708,-0.539021053,-2.893215781,-0.217210622,0.094300682,-0.270123445,-0.397275802,0.799918054,-0.75298756,1.345357015
6.9929,1,0,0,0,0,0,0,0,4.9004,30.2908,33.71,58.6501,12.19999981,13.53,20,80,719.55,12.71,68.6,30.95,749.97,-1.496220764,-1.48914586,-0.814657905,2.233677346,0.738408265,-2.934605681,-0.217210622,0.09281933,-0.393100539,-0.603283461,1.057399152,-0.990126153,1.343737643
7.074,1,0,0,0,0,0,0,0,4.9573,30.9174,32.0082,58.1237,12.19999981,12.69,20,79.99,719.49,12.44,66.3,30.82,750,-1.460104412,-1.292590776,-0.958730637,2.170158551,0.738408265,-3.010187237,-0.217210622,0.091337978,-0.393814139,-0.625443648,0.881670213,-0.995856268,1.344223455
