DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH
7.0351,7.69,30.99,25.4614,36.637,11.60000038
6.9247,7.57,31.76,44.2294,36.6484,11.60000038
6.1796,6.75,31.95,40.0534,36.0313,11.60000038
6.6552,7.27,32.07,38.3814,36.2456,7.900000095
6.6848,7.31,31.42,39.373,36.7973,7.900000095
6.9353,7.58,31.86,37.0431,36.9467,11.30000019
7.3868,8.07,31.61,30.2515,37.0661,11.60000038
8.2093,8.97,31.92,30.4773,37.1475,11.69999981
8.3708,9.15,32.97,41.1581,36.6439,11.69999981
8.5024,9.29,33.66,32.1065,36.6806,11.80000019
8.613,9.41,33.7,25.982,36.5962,11.89999962
8.638,9.44,33.62,35.9475,36.7525,11.80000019
8.572,9.37,33.74,44.5185,36.4814,11.89999962
8.3497,9.13,33.56,37.0711,36.5771,12
8.2085,8.97,32.93,32.2224,36.4922,12
8.1057,8.86,33.4,27.6926,36.9766,12
8.1259,8.88,33.16,21.4535,36.4305,12
8.0913,8.84,33.68,35.4433,37.0003,12.10000038
8.3873,9.17,33.99,44.4878,36.8423,12.19999981
8.1894,8.95,33.44,42.6438,35.7932,12.19999981
8.1999,8.96,33.05,38.4616,35.7601,12.19999981
8.2858,9.06,33.2,34.3941,36.0978,12.19999981
8.4834,9.27,33.02,30.4234,36.5362,12.19999981
8.5474,9.34,31.79,26.3209,35.9037,12.39999962
8.4415,9.23,32.15,29.0166,36.5553,12.30000019
8.6977,9.51,32.09,39.1709,36.3995,12.30000019
9.0415,9.88,33.95,35.6848,36.6487,12.5
8.9995,9.84,34.11,40.2769,36.2794,12.30000019
7.2571,7.93,34.42,41.963,36.6539,12.19999981
8.7449,9.56,33.86,39.4388,37.4444,12.30000019
8.3939,9.17,33.12,34.8928,37.4692,12.30000019
8.2779,9.05,32.63,31.0488,37.5069,12.39999962
6.7092,7.33,31.1,43.4716,37.1136,12.39999962
4.6547,5.09,31.36,46.8868,36.1229,12.30000019
5.5038,6.02,32.25,45.7722,36.0139,12.30000019
8.522,9.31,31.75,39.8715,36.9461,12.30000019
8.6876,9.5,31.7,33.704,37.1007,12.30000019
8.311,9.08,30.51,27.9775,37.1069,12.39999962
8.3776,9.16,30.95,35.5379,36.8871,12.10000038
8.4946,9.28,32.64,34.9651,37.06,12.10000038
8.3369,9.11,32.71,29.2282,37.1932,12.19999981
8.44,9.22,33.28,33.2664,37.2921,12.10000038
8.6089,9.41,33.3,45.1053,37.4238,12.10000038
8.6388,9.44,32.63,40.986,35.9939,12.10000038
8.4238,9.21,32.17,34.9559,36.6934,12.19999981
8.0719,8.82,32.16,30.9797,37.6212,12.19999981
7.8773,8.61,31.01,26.9314,36.6546,12.19999981
8.0909,8.84,31.71,32.9444,37.3465,12.39999962
8.0047,8.75,32.42,45.977,36.8657,12.19999981
6.7984,7.43,33.24,43.197,36.6205,12.10000038
7.1165,7.78,32.66,39.6282,36.7575,12.19999981
6.9585,7.61,32.73,36.7805,36.3768,12.10000038
7.4326,8.12,32.51,34.0653,36.7083,12.19999981
7.2561,7.93,31.78,39.7641,36.2023,12
7.083,7.74,31.72,43.3448,36.6387,11.89999962
7.0854,7.74,30.75,42.6042,36.3259,12
7.2709,7.95,31.54,44.8225,36.5465,11.69999981
7.6361,8.35,31.99,38.9936,36.3369,11.80000019
7.5594,8.26,32.59,34.1618,36.3766,11.69999981
7.5149,8.21,32.21,29.9302,36.3415,11.80000019
8.1557,8.91,32.65,23.4957,36.6437,11.89999962
8.2265,8.99,32.11,46.5202,35.7439,11.89999962
8.1667,8.93,32.31,40.4955,35.9092,12
8.2149,8.98,33.65,34.9401,35.8505,12.19999981
8.3246,9.1,33.65,31.8853,36.04,12.19999981
7.3182,8,33.94,33.8342,35.5308,11.80000019
6.4082,7,33.1,33.6967,35.8487,11.30000019
5.6904,6.22,32.1,30.4779,35.5836,12.10000038
5.245,5.73,32.47,28.6777,35.6276,11.5
5.3988,5.9,31.97,27.4765,36.129,11.69999981
5.38,5.88,31.52,26.3543,35.4743,11.5
5.724,6.26,31.96,25.1989,35.8868,11.80000019
5.5397,6.05,31.63,24.0208,34.8436,11.60000038
4.2369,4.63,33.93,40.1279,35.8146,11.39999962
4.513,4.93,33.64,47.5886,36.5519,11.5
4.8932,5.35,33.87,44.4362,37.178,11.5
5.0183,5.49,33.76,43.3435,36.9311,11.5
5.2412,5.73,34.06,40.5124,37.2285,11.80000019
5.4166,5.92,33.41,39.7351,36.7353,11.89999962
5.9577,6.51,31.96,37.863,36.2416,11.89999962
7.0038,7.66,31.5,35.4467,35.7181,11.80000019
6.7095,7.33,32.12,30.8027,36.5691,11.89999962
6.8658,7.5,32.87,26.081,36.841,12.19999981
7.0897,7.75,33.2,20.7919,36.588,12
0.3626,0.2,32.01,19.941,31.5593,12
1.8451,1.02,32.68,19.8491,47.2145,12
11.9298,6.61,34.62,14.9821,40.2649,12
13.3989,7.42,34.59,15.3132,36.6977,11.69999981
13.9058,7.7,35.53,23.0413,36.9103,12.39999962
10.1433,5.62,35.83,26.4889,36.0667,11.5
11.3691,6.3,37.28,25.3848,36.3594,11.89999962
11.3955,6.31,37.62,22.8724,36.5131,11.5
9.3807,5.2,36.76,18.2543,36.466,11.80000019
9.7693,5.41,36.85,15.8347,36.9805,11.5
12.6526,7.01,36.28,26.4456,37.6943,11.39999962
14.4023,7.98,35.69,25.4003,37.4731,11.5
15.3214,8.49,35.25,22.4592,37.5009,11.30000019
16.6992,9.25,37.04,25.3364,37.0723,11.80000019
17.8105,9.87,38.66,22.2668,36.461,11.30000019
18.0184,9.98,38.89,20.6784,36.1537,11.39999962
18.0618,10,38.99,24.0624,35.6757,11.60000038
18.1622,10.06,38.79,25.5381,35.5984,11.60000038
18.1717,10.07,39.52,19.7728,35.1363,11.89999962
18.263,10.12,39.33,23.2194,35.7388,11.89999962
18.3179,10.15,39.37,22.2999,35.4673,11.80000019
18.4175,10.2,39.43,16.0576,35.242,11.89999962
18.5048,10.25,39.18,25.5444,34.6391,11.89999962
18.3614,10.17,39.83,25.9778,34.5332,12
12.7547,7.07,41.83,25.1473,34.7783,11.89999962
12.7787,7.08,42.78,26.5878,36.0259,12.19999981
13.0081,7.21,42.87,21.4646,35.9382,12.19999981
13.4719,7.46,44.01,24.8406,35.3541,12
13.4933,7.47,43.3,27.3212,36.1273,12
13.3989,7.42,41.96,26.0642,35.8497,12.30000019
13.394,7.42,40.77,22.6529,35.7658,12.10000038
